Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780949631,5,,Aggregated,0.000000,0.000000,19000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,7,0,19000,22200.09662514141,121.12542500108248,44019.78897400113,285.2857142857143
1780949632,5,,Aggregated,0.000000,0.000000,19000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,7,0,19000,22200.09662514141,121.12542500108248,44019.78897400113,285.2857142857143
1780949633,5,,Aggregated,0.000000,0.000000,19000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,7,0,19000,22200.09662514141,121.12542500108248,44019.78897400113,285.2857142857143
1780949634,5,,Aggregated,0.000000,0.000000,19000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,7,0,19000,22200.09662514141,121.12542500108248,44019.78897400113,285.2857142857143
1780949635,5,,Aggregated,0.000000,0.000000,19000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,7,0,19000,22200.09662514141,121.12542500108248,44019.78897400113,285.2857142857143
1780949636,5,,Aggregated,0.000000,0.000000,19000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,7,0,19000,22200.09662514141,121.12542500108248,44019.78897400113,285.2857142857143
1780949637,5,,Aggregated,0.000000,0.000000,19000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,7,0,19000,22200.09662514141,121.12542500108248,44019.78897400113,285.2857142857143
1780949638,5,,Aggregated,0.000000,0.000000,19000,30000,32000,32000,44000,44000,44000,44000,44000,44000,44000,7,0,19000,22200.09662514141,121.12542500108248,44019.78897400113,285.2857142857143
1780949639,5,,Aggregated,0.000000,0.000000,30000,32000,44000,44000,45000,45000,45000,45000,45000,45000,45000,8,0,19000,25008.872705749127,121.12542500108248,44670.305270003155,284.75
1780949640,5,,Aggregated,0.000000,0.000000,30000,32000,44000,44000,45000,45000,45000,45000,45000,45000,45000,8,0,19000,25008.872705749127,121.12542500108248,44670.305270003155,284.75
1780949641,5,,Aggregated,0.000000,0.000000,19000,30000,32000,44000,45000,45000,45000,45000,45000,45000,45000,9,0,19000,24129.68923688863,121.12542500108248,44670.305270003155,284.3333333333333
1780949642,5,,Aggregated,0.000000,0.000000,19000,30000,32000,44000,45000,45000,45000,45000,45000,45000,45000,9,0,19000,24129.68923688863,121.12542500108248,44670.305270003155,284.3333333333333
